question,case_type
illegal eviction by landlord,Civil
cybercrime involving identity theft,Criminal
unpaid wages dispute,Labor
marriage annulment request,Family
property dispute between brothers,Civil
theft reported in house,Criminal
unpaid wages dispute,Labor
family inheritance dispute,Family
property dispute between brothers,Civil
cybercrime involving identity theft,Criminal
unpaid wages dispute,Labor
child custody dispute,Family
illegal eviction by landlord,Civil
robbery in a bank,Criminal
employee benefits denied,Labor
family inheritance dispute,Family
tenant not paying rent,Civil
fraud using fake documents,Criminal
employee benefits denied,Labor
alimony payment disagreement,Family
property dispute between brothers,Civil
theft reported in house,Criminal
unpaid wages dispute,Labor
alimony payment disagreement,Family
contract breach over property sale,Civil
assault causing injury,Criminal
company not paying overtime wages,Labor
domestic violence complaint,Family
land ownership conflict,Civil
person committed murder intentionally,Criminal
employee not paid salary,Labor
divorce settlement issue,Family
neighbor boundary dispute,Civil
assault causing injury,Criminal
unpaid wages dispute,Labor
marriage annulment request,Family
property dispute between brothers,Civil
person committed murder intentionally,Criminal
employee not paid salary,Labor
family inheritance dispute,Family
land ownership conflict,Civil
person committed murder intentionally,Criminal
workplace harassment complaint,Labor
domestic violence complaint,Family
neighbor boundary dispute,Civil
robbery in a bank,Criminal
workplace harassment complaint,Labor
child custody dispute,Family
contract breach over property sale,Civil
assault causing injury,Criminal
illegal termination from job,Labor
domestic violence complaint,Family
contract breach over property sale,Civil
fraud using fake documents,Criminal
unpaid wages dispute,Labor
domestic violence complaint,Family
illegal eviction by landlord,Civil
theft reported in house,Criminal
employee not paid salary,Labor
family inheritance dispute,Family
property dispute between brothers,Civil
robbery in a bank,Criminal
employee benefits denied,Labor
marriage annulment request,Family
illegal eviction by landlord,Civil
assault causing injury,Criminal
workplace harassment complaint,Labor
marriage annulment request,Family
contract breach over property sale,Civil
person committed murder intentionally,Criminal
company not paying overtime wages,Labor
marriage annulment request,Family
neighbor boundary dispute,Civil
theft reported in house,Criminal
unpaid wages dispute,Labor
child custody dispute,Family
tenant not paying rent,Civil
robbery in a bank,Criminal
unpaid wages dispute,Labor
marriage annulment request,Family
illegal eviction by landlord,Civil
theft reported in house,Criminal
illegal termination from job,Labor
family inheritance dispute,Family
contract breach over property sale,Civil
person committed murder intentionally,Criminal
employee not paid salary,Labor
child custody dispute,Family
land ownership conflict,Civil
fraud using fake documents,Criminal
unpaid wages dispute,Labor
child custody dispute,Family
tenant not paying rent,Civil
fraud using fake documents,Criminal
employee benefits denied,Labor
child custody dispute,Family
neighbor boundary dispute,Civil
robbery in a bank,Criminal
unpaid wages dispute,Labor
alimony payment disagreement,Family
land ownership conflict,Civil
person committed murder intentionally,Criminal
unpaid wages dispute,Labor
family inheritance dispute,Family
land ownership conflict,Civil
robbery in a bank,Criminal
company not paying overtime wages,Labor
child custody dispute,Family
illegal eviction by landlord,Civil
theft reported in house,Criminal
illegal termination from job,Labor
child custody dispute,Family
tenant not paying rent,Civil
fraud using fake documents,Criminal
company not paying overtime wages,Labor
family inheritance dispute,Family
tenant not paying rent,Civil
robbery in a bank,Criminal
employee benefits denied,Labor
family inheritance dispute,Family
illegal eviction by landlord,Civil
person committed murder intentionally,Criminal
employee not paid salary,Labor
marriage annulment request,Family
neighbor boundary dispute,Civil
theft reported in house,Criminal
employee benefits denied,Labor
family inheritance dispute,Family
property dispute between brothers,Civil
assault causing injury,Criminal
unpaid wages dispute,Labor
alimony payment disagreement,Family
land ownership conflict,Civil
assault causing injury,Criminal
illegal termination from job,Labor
family inheritance dispute,Family
neighbor boundary dispute,Civil
assault causing injury,Criminal
company not paying overtime wages,Labor
family inheritance dispute,Family
property dispute between brothers,Civil
robbery in a bank,Criminal
employee not paid salary,Labor
alimony payment disagreement,Family
contract breach over property sale,Civil
theft reported in house,Criminal
employee benefits denied,Labor
family inheritance dispute,Family
contract breach over property sale,Civil
person committed murder intentionally,Criminal
employee not paid salary,Labor
child custody dispute,Family
tenant not paying rent,Civil
robbery in a bank,Criminal
workplace harassment complaint,Labor
marriage annulment request,Family
tenant not paying rent,Civil
assault causing injury,Criminal
workplace harassment complaint,Labor
divorce settlement issue,Family
neighbor boundary dispute,Civil
robbery in a bank,Criminal
workplace harassment complaint,Labor
child custody dispute,Family
contract breach over property sale,Civil
assault causing injury,Criminal
employee benefits denied,Labor
domestic violence complaint,Family
tenant not paying rent,Civil
cybercrime involving identity theft,Criminal
employee benefits denied,Labor
alimony payment disagreement,Family
contract breach over property sale,Civil
fraud using fake documents,Criminal
unpaid wages dispute,Labor
marriage annulment request,Family
neighbor boundary dispute,Civil
fraud using fake documents,Criminal
company not paying overtime wages,Labor
family inheritance dispute,Family
tenant not paying rent,Civil
person committed murder intentionally,Criminal
workplace harassment complaint,Labor
family inheritance dispute,Family
property dispute between brothers,Civil
fraud using fake documents,Criminal
unpaid wages dispute,Labor
divorce settlement issue,Family
contract breach over property sale,Civil
robbery in a bank,Criminal
employee benefits denied,Labor
marriage annulment request,Family
neighbor boundary dispute,Civil
person committed murder intentionally,Criminal
workplace harassment complaint,Labor
child custody dispute,Family
contract breach over property sale,Civil
theft reported in house,Criminal
company not paying overtime wages,Labor
marriage annulment request,Family
neighbor boundary dispute,Civil
person committed murder intentionally,Criminal
company not paying overtime wages,Labor
alimony payment disagreement,Family
tenant not paying rent,Civil
theft reported in house,Criminal
employee benefits denied,Labor
marriage annulment request,Family
property dispute between brothers,Civil
fraud using fake documents,Criminal
workplace harassment complaint,Labor
alimony payment disagreement,Family
land ownership conflict,Civil
